k,band_index,energy
-0.11780972450961702,1,-0.4006782333788706
-0.11780972450961702,2,0.40067823337887076
-0.11780972450961702,3,3.6344173957087342
-0.07853981633974483,0,-3.6428747600850038
-0.07853981633974483,1,-0.4071666088107149
-0.07853981633974483,2,0.40716660881071565
-0.07853981633974483,3,3.6428747600850055
-0.039269908169872636,0,-3.647956081853655
-0.039269908169872636,1,-0.41106690446125865
-0.039269908169872636,2,0.41106690446125854
-0.039269908169872636,3,3.647956081853656
0.0,0,-3.6496510067828547
0.0,1,-0.4123681955351254
0.0,2,0.41236819553512555
0.0,3,3.6496510067828565
0.039269908169872636,0,-3.647956081853655
0.039269908169872636,1,-0.41106690446125865
0.039269908169872636,2,0.41106690446125854
0.039269908169872636,3,3.647956081853656
0.07853981633974483,0,-3.6428747600850038
0.07853981633974483,1,-0.4071666088107149
0.07853981633974483,2,0.40716660881071565
0.07853981633974483,3,3.6428747600850055
0.11780972450961702,0,-3.6344173957087333
0.11780972450961702,1,-0.4006782333788706
0.11780972450961702,2,0.40067823337887076
0.11780972450961702,3,3.6344173957087342
0.15707963267948966,0,-3.622601229761121
0.15707963267948966,1,-0.39162065979730243
0.15707963267948966,2,0.39162065979730204
0.15707963267948966,3,3.6226012297611234
0.1963495408493623,0,-3.607450366295499
0.1963495408493623,1,-0.3800218631390671
0.1963495408493623,2,0.38002186313906716
0.1963495408493623,3,3.607450366295497
0.23561944901923448,0,-3.5889957395729146
0.23561944901923448,1,-0.36592079305328135
0.23561944901923448,2,0.3659207930532814
0.23561944901923448,3,3.588995739572917
0.2748893571891067,0,-3.567275072766124
0.2748893571891067,1,-0.34937039342976745
0.2748893571891067,2,0.34937039342976767
0.2748893571891067,3,3.5672750727661255
0.3141592653589793,0,-3.5423328289288225
0.3141592653589793,1,-0.3304424678637771
0.3141592653589793,2,0.3304424678637773
0.3141592653589793,3,3.5423328289288207
0.35342917352885195,0,-3.5142201552535153
0.35342917352885195,1,-0.30923568750405533
0.35342917352885195,2,0.30923568750405445
0.35342917352885195,3,3.5142201552535126
0.39269908169872414,0,-3.4829948219878113
0.39269908169872414,1,-0.28588920227849757
0.39269908169872414,2,0.2858892022784978
0.39269908169872414,3,3.4829948219878113
0.43196898986859633,0,-3.4487211578272374
0.43196898986859633,1,-0.2606067272239114
0.43196898986859633,2,0.26060672722391187
0.43196898986859633,3,3.4487211578272388
0.47123889803846897,0,-3.4114699841890377
0.47123889803846897,1,-0.23370119163672728
0.47123889803846897,2,0.23370119163672753
0.47123889803846897,3,3.4114699841890364
0.5105088062083416,0,-3.3713185515448814
0.5105088062083416,1,-0.2056817108322152
0.5105088062083416,2,0.20568171083221493
0.5105088062083416,3,3.371318551544878
0.5497787143782138,0,-3.3283504820186627
0.5497787143782138,1,-0.1774306842419522
0.5497787143782138,2,0.1774306842419519
0.5497787143782138,3,3.3283504820186622
0.589048622548086,0,-3.282655723834231
0.589048622548086,1,-0.15056946533133583
0.589048622548086,2,0.15056946533133542
0.589048622548086,3,3.282655723834227
0.6283185307179586,0,-3.234330525061686
0.6283185307179586,1,-0.12814113363389246
0.6283185307179586,2,0.12814113363389248
0.6283185307179586,3,3.234330525061685
0.6675884388878313,0,-3.183477436654763
0.6675884388878313,1,-0.11529612622185016
0.6675884388878313,2,0.11529612622185065
0.6675884388878313,3,3.183477436654764
0.7068583470577035,0,-3.1302053582792766
0.7068583470577035,1,-0.1177653708655961
0.7068583470577035,2,0.11776537086559581
0.7068583470577035,3,3.130205358279276
0.7461282552275756,0,-3.0746296453233057
0.7461282552275756,1,-0.13687293915341134
0.7461282552275756,2,0.1368729391534112
0.7461282552275756,3,3.074629645323303
0.7853981633974483,0,-3.0168723023829678
0.7853981633974483,1,-0.16876466192452078
0.7853981633974483,2,0.16876466192452097
0.7853981633974483,3,3.0168723023829678
0.8246680715673209,0,-2.957062298390789
0.8246680715673209,1,-0.20904761673451816
0.8246680715673209,2,0.20904761673451822
0.8246680715673209,3,2.957062298390789
0.8639379797371927,0,-2.8953360528771803
