aberration_id,sample_id,psnr_fixed,psnr_guided,psnr_method,psnr_gain,psnr_gap_to_guided,dataset_name,dataset_version,seed,method,object_family,better_than_fixed
0,ImageNet-1k:imagenet_proxy_000,18.37913524723942,20.176638382123357,9.419180444552968,-8.959954802686454,10.757457937570386,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
0,ImageNet-1k:imagenet_proxy_001,19.4185212442048,21.4257681213447,9.02083122844262,-10.397690015762182,12.40493689290208,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
0,ImageNet-1k:imagenet_proxy_002,17.144871038094426,18.709930391033677,9.522560677445648,-7.622310360648779,9.187369713588026,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
0,ImageNet-1k:imagenet_proxy_003,19.87239693750947,22.64366861453879,9.0259654145324,-10.846431522977072,13.61770320000639,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
0,ImageNet-1k:imagenet_proxy_004,20.36777785801965,22.31443543561192,8.708197011320616,-11.659580846699034,13.606238424291304,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
0,ImageNet-1k:imagenet_proxy_005,19.64942581955879,20.72372347180619,9.095325923729192,-10.554099895829598,11.628397548076997,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
0,ImageNet-1k:imagenet_proxy_006,19.73105034676241,21.15100711184366,10.468519985815526,-9.262530360946885,10.682487126028136,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
0,ImageNet-1k:imagenet_proxy_007,24.25134673091588,27.945127685126543,10.424993263478925,-13.826353467436956,17.52013442164762,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
0,ImageNet-1k:imagenet_proxy_008,18.59203268222841,19.76822196245081,9.723717125446669,-8.868315556781742,10.04450483700414,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
0,ImageNet-1k:imagenet_proxy_009,19.87559582846149,21.26810377919595,9.435975976331791,-10.439619852129695,11.832127802864155,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
0,ImageNet-1k:imagenet_proxy_010,16.54464520459449,17.088873552528383,8.457391919786687,-8.087253284807804,8.631481632741696,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
0,ImageNet-1k:imagenet_proxy_011,21.91276814000132,23.78688900955446,9.361981809809784,-12.550786330191537,14.424907199744675,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
1,ImageNet-1k:imagenet_proxy_000,18.441468774705854,20.628023737643243,9.420865200787622,-9.020603573918232,11.20715853685562,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
1,ImageNet-1k:imagenet_proxy_001,18.538235981075392,21.643612972347213,9.013832870149294,-9.524403110926098,12.62978010219792,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
1,ImageNet-1k:imagenet_proxy_002,17.286927749285475,19.309275386771198,9.530101278026187,-7.756826471259288,9.779174108745009,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
1,ImageNet-1k:imagenet_proxy_003,21.283035485854747,26.023754976853937,9.045860052975192,-12.237175432879557,16.977894923878743,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
1,ImageNet-1k:imagenet_proxy_004,20.16467487081345,22.496487198273872,8.700140876976029,-11.464533993837415,13.796346321297843,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
1,ImageNet-1k:imagenet_proxy_005,20.053058153249864,23.36371479498932,9.118742197953834,-10.93431595529603,14.244972597035488,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
1,ImageNet-1k:imagenet_proxy_006,19.728304667830628,21.97809973582199,10.449154383552973,-9.279150284277655,11.528945352269016,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
1,ImageNet-1k:imagenet_proxy_007,27.19828963419568,29.89714827601544,10.533831188743026,-16.664458445452656,19.36331708727241,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
1,ImageNet-1k:imagenet_proxy_008,18.416885301603877,20.3218825116638,9.74512331706755,-8.671761984536323,10.576759194596248,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
1,ImageNet-1k:imagenet_proxy_009,21.239195482710016,24.16203260569564,9.59862267268992,-11.640572810020098,14.563409933005715,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
1,ImageNet-1k:imagenet_proxy_010,17.095284365085792,19.877579422953204,8.46424040172728,-8.631043963358513,11.413339021225925,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
1,ImageNet-1k:imagenet_proxy_011,21.66281951363726,25.22396649059306,9.348732239662942,-12.314087273974318,15.875234250930118,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
2,ImageNet-1k:imagenet_proxy_000,19.51877954062885,22.94328866936817,9.446972688280429,-10.071806852348422,13.496315981087744,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
2,ImageNet-1k:imagenet_proxy_001,19.52164511559177,22.114277115881656,9.05467537086524,-10.466969744726535,13.059601745016415,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
2,ImageNet-1k:imagenet_proxy_002,18.186379443095834,21.84017803582976,9.483324269220848,-8.703055173874986,12.35685376660891,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
2,ImageNet-1k:imagenet_proxy_003,20.910408925742907,23.72619529217152,9.09291769684351,-11.817491228899396,14.633277595328009,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
2,ImageNet-1k:imagenet_proxy_004,21.4576363280704,23.801444579990488,8.779068770538085,-12.678567557532316,15.022375809452402,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
2,ImageNet-1k:imagenet_proxy_005,20.375103631462995,22.50473622221537,9.07693682094554,-11.298166810517454,13.427799401269834,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
2,ImageNet-1k:imagenet_proxy_006,19.892394837383875,22.633110120640016,10.373513797303476,-9.518881040080398,12.259596323336538,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
2,ImageNet-1k:imagenet_proxy_007,27.14652971036349,29.75237746784835,10.548623768299535,-16.59790594206396,19.203753699548813,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
2,ImageNet-1k:imagenet_proxy_008,18.80117135181588,20.921060842948567,9.713465520178511,-9.087705831637368,11.207595322770054,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
2,ImageNet-1k:imagenet_proxy_009,21.147320837294792,22.81743393322557,9.469018855245553,-11.67830198204924,13.348415077980016,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
2,ImageNet-1k:imagenet_proxy_010,17.191992321163173,19.024114973123545,8.452468375531486,-8.739523945631687,10.57164659759206,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
2,ImageNet-1k:imagenet_proxy_011,22.640345029946328,24.79549124170434,9.303163829412084,-13.337181200534244,15.492327412292257,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
3,ImageNet-1k:imagenet_proxy_000,19.09297262457729,22.519789772188545,9.45100382030454,-9.64196880427275,13.068785951884005,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
3,ImageNet-1k:imagenet_proxy_001,17.70280693610308,21.53441424829852,9.01681913104476,-8.685987805058321,12.51759511725376,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
3,ImageNet-1k:imagenet_proxy_002,17.904859016290853,21.51984468699569,9.49229146838872,-8.412567547902132,12.027553218606965,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
3,ImageNet-1k:imagenet_proxy_003,20.95253889294425,26.04459876985309,9.027061686156705,-11.925477206787551,17.01753708369639,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
3,ImageNet-1k:imagenet_proxy_004,20.752529580949247,23.355873001667383,8.73417296730373,-12.018356613645516,14.621700034363654,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
3,ImageNet-1k:imagenet_proxy_005,19.93116225765096,25.02490295697626,9.131155347164505,-10.800006910486456,15.893747609811754,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
3,ImageNet-1k:imagenet_proxy_006,19.412075569509152,22.64008947491351,10.39433174220856,-9.017743827300592,12.245757732704948,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
3,ImageNet-1k:imagenet_proxy_007,26.890020171332907,31.10745578911121,10.607063385888992,-16.282956785443915,20.500392403222214,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
3,ImageNet-1k:imagenet_proxy_008,18.268126109709225,21.21906742043444,9.707647911742994,-8.560478197966232,11.511419508691448,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
3,ImageNet-1k:imagenet_proxy_009,21.41476884025423,25.493621220182845,9.640251374406796,-11.774517465847437,15.85336984577605,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
3,ImageNet-1k:imagenet_proxy_010,17.522383041448904,22.819652823364592,8.46729071467023,-9.055092326778674,14.35236210869436,ImageNet-1k,ILSVRC2012 validation,,phase_only_stack,,False
