case_id,object_id,fixed_psnr_lowres,guided_psnr_lowres,pipeline_psnr_lowres,psnr_gain_over_fixed_lowres,psnr_gap_to_guided_lowres,dataset_name,dataset_version,training_regime
0,ImageNet-1k:imagenet_proxy_000,18.37913524723942,20.176638382123354,19.15237489964157,0.7732396524021468,1.0242634824817856,ImageNet-1k,ILSVRC2012 validation,mixed_synthetic_plus_proxy_natural
0,ImageNet-1k:imagenet_proxy_001,19.4185212442048,21.4257681213447,19.112192146808976,-0.3063290973958246,2.3135759745357234,ImageNet-1k,ILSVRC2012 validation,mixed_synthetic_plus_proxy_natural
0,ImageNet-1k:imagenet_proxy_002,17.144871038094426,18.709930391033673,18.713694857380016,1.5688238192855906,-0.003764466346343198,ImageNet-1k,ILSVRC2012 validation,mixed_synthetic_plus_proxy_natural
0,ImageNet-1k:imagenet_proxy_003,19.87239693750947,22.64366861453879,18.79984875540685,-1.0725481821026221,3.8438198591319406,ImageNet-1k,ILSVRC2012 validation,mixed_synthetic_plus_proxy_natural
0,ImageNet-1k:imagenet_proxy_004,20.36777785801965,22.31443543561192,21.683866509920968,1.3160886519013175,0.6305689256909517,ImageNet-1k,ILSVRC2012 validation,mixed_synthetic_plus_proxy_natural
0,ImageNet-1k:imagenet_proxy_005,19.64942581955879,20.72372347180619,20.72174727059604,1.0723214510372507,0.0019762012101480764,ImageNet-1k,ILSVRC2012 validation,mixed_synthetic_plus_proxy_natural
0,ImageNet-1k:imagenet_proxy_006,19.73105034676241,21.15100711184366,22.523142939601478,2.7920925928390687,-1.3721358277578162,ImageNet-1k,ILSVRC2012 validation,mixed_synthetic_plus_proxy_natural
0,ImageNet-1k:imagenet_proxy_007,24.25134673091588,27.945127685126543,22.678064022911496,-1.5732827080043847,5.2670636622150475,ImageNet-1k,ILSVRC2012 validation,mixed_synthetic_plus_proxy_natural
0,ImageNet-1k:imagenet_proxy_008,18.59203268222841,19.76822196245081,19.93801284715389,1.3459801649254786,-0.16979088470307957,ImageNet-1k,ILSVRC2012 validation,mixed_synthetic_plus_proxy_natural
0,ImageNet-1k:imagenet_proxy_009,19.87559582846149,21.26810377919595,20.688095641814172,0.8124998133526837,0.5800081373817783,ImageNet-1k,ILSVRC2012 validation,mixed_synthetic_plus_proxy_natural
0,ImageNet-1k:imagenet_proxy_010,16.54464520459449,17.088873552528383,19.032950637275338,2.4883054326808463,-1.9440770847469544,ImageNet-1k,ILSVRC2012 validation,mixed_synthetic_plus_proxy_natural
